id,original_sequence,summary_sequence
0,"[163, 2067, 9, 8, 3938, 974, 97, 199, 1, 1032, 1472, 2583, 2740, 2361, 1, 533, 777, 236, 1277, 5, 3, 1082, 502, 975, 2240, 534, 2741, 8, 753, 34, 3, 1, 5, 100, 944, 4223, 2742, 3, 1335, 248, 5, 42, 1, 4223, 1627, 3, 236, 5, 3, 145, 22, 562, 1403, 41, 1278, 2068, 1404, 1, 1, 400, 81, 8, 975, 329, 132, 174, 295, 2, 9, 3, 4224, 11, 3, 24, 5, 2069, 221, 34, 163, 489, 2, 480, 848, 163, 1033, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[163, 2067, 9, 8, 3938, 974, 97, 199, 1, 1032, 1472, 2583, 2740, 2361, 1, 533, 777, 236, 1277, 5, 3, 1082, 502, 975, 2240, 534, 2741, 8, 753, 34, 3, 1, 5, 100, 944, 4223, 2742, 3, 1335, 248, 5, 42, 1, 4223, 1627, 3, 236, 5, 3, 145]"
1,"[2070, 9, 3, 503, 1539, 56, 1977, 13, 1473, 3345, 2, 490, 2743, 7, 1336, 307, 38, 249, 17, 3, 1978, 44, 112, 38, 3115, 10, 2584, 409, 3, 56, 535, 754, 152, 382, 4225, 907, 1, 97, 3, 4226, 1, 1004, 2744, 41, 9, 1, 115, 7, 4227, 128, 409, 383, 1121, 9, 1405, 1785, 10, 8, 677, 7, 1, 1, 1337, 945, 15, 8, 153, 2, 1, 44, 3, 908, 22, 66, 38, 1474, 2585, 1628, 76, 35, 90, 2, 2745, 3, 73, 383, 2, 945, 1338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2070, 9, 3, 503, 1539, 56, 1977, 13, 1473, 3345, 2, 490, 2743, 7, 1336, 307, 38, 249, 17, 3, 1978, 44, 112, 38, 3115, 10, 2584, 409, 3, 56, 535, 754, 152, 382, 4225, 907, 1, 97, 3, 4226, 1, 1004, 2744, 41, 9, 1, 115, 7, 4227, 128]"
2,"[8, 1245, 3116, 9, 8, 2071, 5, 946, 4228, 53, 829, 880, 384, 4, 1, 307, 1, 433, 1, 2586, 17, 42, 4229, 3346, 3347, 8, 78, 1, 98, 651, 2241, 20, 249, 1540, 17, 3, 880, 1246, 5, 976, 678, 2072, 1279, 141, 1, 43, 1159, 1160, 81, 3, 977, 5, 43, 90, 1338, 3, 4230, 3939, 3, 3940, 372, 15, 3, 1861, 3348, 1, 3, 679, 5, 1161, 2587, 4231, 1245, 2588, 170, 1, 16, 175, 50, 7, 1, 3, 1, 1, 5, 978, 946, 2, 3, 338, 5, 1862, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 1245, 3116, 9, 8, 2071, 5, 946, 4228, 53, 829, 880, 384, 4, 1, 307, 1, 433, 1, 2586, 17, 42, 4229, 3346, 3347, 8, 78, 1, 98, 651, 2241, 20, 249, 1540, 17, 3, 880, 1246, 5, 976, 678, 2072, 1279, 141, 1, 43, 1159, 1160, 81, 3]"
3,"[4232, 1541, 519, 9, 3, 1122, 1, 281, 1863, 10, 3, 1786, 5, 26, 311, 2, 2362, 76, 145, 244, 3117, 3, 367, 111, 4233, 554, 11, 3, 244, 24, 620, 133, 2, 735, 42, 61, 9, 8, 4234, 1, 1, 8, 1, 1, 41, 9, 1540, 13, 199, 849, 1, 1, 1162, 8, 282, 3941, 3, 1, 3349, 5, 78, 1, 5, 736, 2746, 1, 1, 1, 2, 1, 2242, 84, 3, 121, 2747, 11, 3350, 695, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4232, 1541, 519, 9, 3, 1122, 1, 281, 1863, 10, 3, 1786, 5, 26, 311, 2, 2362, 76, 145, 244, 3117, 3, 367, 111, 4233, 554, 11, 3, 244, 24, 620, 133, 2, 735, 42, 61, 9, 8, 4234, 1, 1, 8, 1, 1, 41, 9, 1540, 13, 199, 849]"
4,"[178, 72, 216, 7, 755, 1083, 10, 73, 2073, 2, 4235, 1084, 54, 16, 3, 947, 504, 162, 1, 881, 13, 4236, 266, 5, 1542, 1475, 1247, 26, 275, 434, 3, 2589, 1, 5, 606, 1034, 34, 1, 1, 2, 1280, 11, 38, 1629, 98, 1247, 41, 737, 1, 271, 152, 3, 563, 908, 3, 621, 1630, 186, 2, 21, 541, 130, 3942, 882, 3, 4237, 5, 696, 1084, 360, 2, 678, 505, 2243, 1, 1, 73, 1787, 19, 439, 1788, 2, 176, 215, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[178, 72, 216, 7, 755, 1083, 10, 73, 2073, 2, 4235, 1084, 54, 16, 3, 947, 504, 162, 1, 881, 13, 4236, 266, 5, 1542, 1475, 1247, 26, 275, 434, 3, 2589, 1, 5, 606, 1034, 34, 1, 1, 2, 1280, 11, 38, 1629, 98, 1247, 41, 737, 1, 271]"
5,"[1203, 2074, 9, 3, 222, 200, 29, 2363, 3, 712, 5, 3, 1864, 410, 2, 1163, 1035, 1281, 4, 1705, 563, 2075, 3943, 1339, 372, 15, 3, 2364, 2748, 1248, 152, 3, 536, 2590, 1706, 555, 98, 2075, 1281, 7, 4238, 2, 2365, 4239, 4240, 12, 1, 1204, 100, 883, 1543, 3351, 1, 1979, 22, 1164, 652, 237, 9, 850, 1123, 11, 909, 3, 1085, 339, 481, 3352, 346, 53, 15, 2749, 1544, 3, 1, 5, 2750, 3353, 1340, 2751, 2, 3, 73, 210, 5, 1036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1203, 2074, 9, 3, 222, 200, 29, 2363, 3, 712, 5, 3, 1864, 410, 2, 1163, 1035, 1281, 4, 1705, 563, 2075, 3943, 1339, 372, 15, 3, 2364, 2748, 1248, 152, 3, 536, 2590, 1706, 555, 98, 2075, 1281, 7, 4238, 2, 2365, 4239, 4240, 12, 1, 1204, 100, 883]"
6,"[112, 1707, 9, 3, 1476, 829, 2752, 48, 778, 2366, 12, 409, 4, 482, 3, 330, 5, 910, 112, 1631, 35, 409, 2, 480, 1545, 3944, 1, 3, 199, 911, 697, 20, 4241, 1205, 41, 591, 3, 2076, 1477, 5, 100, 12, 300, 1341, 2753, 48, 778, 2, 2754, 1205, 312, 13, 3, 829, 3354, 2752, 48, 778, 4, 435, 2755, 1789, 7, 84, 1, 2756, 2366, 3, 146, 2, 78, 3118, 5, 98, 66, 1205, 20, 3, 911, 219, 1, 76, 3, 3355, 150, 2, 112, 179, 5, 520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[112, 1707, 9, 3, 1476, 829, 2752, 48, 778, 2366, 12, 409, 4, 482, 3, 330, 5, 910, 112, 1631, 35, 409, 2, 480, 1545, 3944, 1, 3, 199, 911, 697, 20, 4241, 1205, 41, 591, 3, 2076, 1477, 5, 100, 12, 300, 1341, 2753, 48, 778, 2, 2754, 1205]"
7,"[1086, 440, 2591, 216, 7, 3, 1005, 2, 1342, 912, 197, 1478, 7, 2592, 26, 102, 1, 15, 37, 35, 2, 1, 382, 205, 18, 2, 276, 385, 124, 2591, 434, 6, 42, 411, 5, 756, 37, 9, 1342, 2077, 1, 27, 2593, 948, 3119, 5, 3, 73, 471, 1, 1037, 17, 276, 779, 1, 2, 480, 1632, 1865, 1282, 7, 35, 1546, 1633, 18, 329, 3356, 439, 200, 83, 2, 223, 472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1086, 440, 2591, 216, 7, 3, 1005, 2, 1342, 912, 197, 1478, 7, 2592, 26, 102, 1, 15, 37, 35, 2, 1, 382, 205, 18, 2, 276, 385, 124, 2591, 434, 6, 42, 411, 5, 756, 37, 9, 1342, 2077, 1, 27, 2593, 948, 3119, 5, 3, 73, 471, 1]"
8,"[1278, 1, 2757, 29, 5, 542, 329, 4242, 1406, 45, 5, 264, 268, 2, 978, 10, 3, 1790, 331, 3, 29, 9, 2367, 1, 44, 1206, 542, 41, 206, 346, 198, 238, 2368, 81, 1164, 1, 2, 3357, 4, 3, 607, 5, 307, 9, 8, 592, 1164, 2, 483, 542, 41, 170, 3, 633, 1866, 5, 978, 483, 542, 3357, 4, 978, 9, 129, 28, 3358, 662, 189, 426, 3, 3120, 5, 738, 2, 38, 1, 3, 1343, 2369, 5, 946, 2363, 3, 1, 5, 1085, 2, 3, 62, 5, 3, 1087, 3121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1278, 1, 2757, 29, 5, 542, 329, 4242, 1406, 45, 5, 264, 268, 2, 978, 10, 3, 1790, 331, 3, 29, 9, 2367, 1, 44, 1206, 542, 41, 206, 346, 198, 238, 2368, 81, 1164, 1, 2, 3357, 4, 3, 607, 5, 307, 9, 8, 592, 1164, 2, 483, 542]"
9,"[3, 267, 9, 2078, 4243, 13, 4244, 15, 3, 66, 351, 2, 377, 1283, 5, 90, 10, 76, 372, 389, 244, 1708, 12, 35, 4245, 3945, 2758, 311, 41, 4246, 2759, 1473, 2, 2370, 804, 1163, 35, 4225, 98, 121, 451, 88, 3, 1786, 41, 1, 3946, 3, 311, 111, 281, 519, 2, 3, 1, 41, 20, 737, 1123, 11, 2760, 3, 1082, 3122, 5, 3, 311, 949, 38, 347, 3947, 3, 491, 2, 1479, 1, 5, 3, 3943, 267, 1, 20, 245, 11, 465, 352, 1709, 2, 653, 260, 16, 3, 757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 267, 9, 2078, 4243, 13, 4244, 15, 3, 66, 351, 2, 377, 1283, 5, 90, 10, 76, 372, 389, 244, 1708, 12, 35, 4245, 3945, 2758, 311, 41, 4246, 2759, 1473, 2, 2370, 804, 1163, 35, 4225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
